,body,target,company
0,"['wesley', 'i', 'have', 'a', 'g', 'iphone', 'after', 'hr', 'tweeting', 'at', 'rise_austin', 'it', 'wa', 'dead', 'i', 'need', 'to', 'upgrade', 'plugin', 'station', 'at', 'sxsw']",0,apple
1,"['jessedee', 'know', 'about', 'fludapp', 'awesome', 'ipadiphone', 'app', 'that', 'youll', 'likely', 'appreciate', 'for', 'it', 'design', 'also', 'theyre', 'giving', 'free', 't', 'at', 'sxsw']",2,apple
2,"['swonderlin', 'can', 'not', 'wait', 'for', 'ipad', 'also', 'they', 'should', 'sale', 'them', 'down', 'at', 'sxsw']",2,apple
3,"['sxsw', 'i', 'hope', 'this', 'year', 'festival', 'isnt', 'a', 'crashy', 'a', 'this', 'year', 'iphone', 'app', 'sxsw']",0,apple
4,"['sxtxstate', 'great', 'stuff', 'on', 'fri', 'sxsw', 'marissa', 'mayer', 'google', 'tim', 'oreilly', 'tech', 'booksconferences', 'amp', 'matt', 'mullenweg', 'wordpress']",2,google
5,"['teachntech', 'new', 'ipad', 'apps', 'for', 'speechtherapy', 'and', 'communication', 'are', 'showcased', 'at', 'the', 'sxsw', 'conference', 'httphtlynm', 'iear', 'edchat', 'asd']",1,apple
7,"['sxsw', 'is', 'just', 'starting', 'ctia', 'is', 'around', 'the', 'corner', 'and', 'googleio', 'is', 'only', 'a', 'hop', 'skip', 'and', 'a', 'jump', 'from', 'there', 'good', 'time', 'to', 'be', 'an', 'android', 'fan']",2,google
8,"['beautifully', 'smart', 'and', 'simple', 'idea', 'rt', 'madebymany', 'thenextweb', 'wrote', 'about', 'our', 'hollergram', 'ipad', 'app', 'for', 'sxsw', 'httpbitlyieavob']",2,apple
9,"['counting', 'down', 'the', 'day', 'to', 'sxsw', 'plus', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'up', 'on', 'apple', 'gear']",2,apple
10,"['excited', 'to', 'meet', 'the', 'samsungmobileus', 'at', 'sxsw', 'so', 'i', 'can', 'show', 'them', 'my', 'sprint', 'galaxy', 's', 'still', 'running', 'android', 'fail']",2,google
11,"['find', 'amp', 'start', 'impromptu', 'party', 'at', 'sxsw', 'with', 'hurricaneparty', 'httpbitlygvlrin', 'i', 'cant', 'wait', 'til', 'the', 'android', 'app', 'come', 'out']",2,google
12,"['foursquare', 'ups', 'the', 'game', 'just', 'in', 'time', 'for', 'sxsw', 'httpjmpgrnpk', 'still', 'prefer', 'gowalla', 'by', 'far', 'best', 'looking', 'android', 'app', 'to', 'date']",2,google
13,"['gotta', 'love', 'this', 'sxsw', 'google', 'calendar', 'featuring', 'top', 'party', 'show', 'case', 'to', 'check', 'out', 'rt', 'hamsandwich', 'via', 'ischafer', 'gthttpbitlyaxzwxb']",2,google
14,"['great', 'sxsw', 'ipad', 'app', 'from', 'madebymany', 'httptinyurlcomnqvl']",2,apple
15,"['haha', 'awesomely', 'rad', 'ipad', 'app', 'by', 'madebymany', 'httpbitlyhtdfim', 'hollergram', 'sxsw']",2,apple
